# Average Pressure: -64.061221387925
# Average Potential Energy per Particle: -3.30491266
# r	g(r)
0.001885	0.000000
0.005655	0.000000
0.009424	0.000000
0.013194	0.000000
0.016964	0.000000
0.020734	0.000000
0.024503	0.000000
0.028273	0.000000
0.032043	0.000000
0.035812	0.000000
0.039582	0.000000
0.043352	0.000000
0.047122	0.000000
0.050891	0.000000
0.054661	0.000000
0.058431	0.000000
0.062201	0.000000
0.065970	0.000000
0.069740	0.000000
0.073510	0.000000
0.077280	0.000000
0.081049	0.000000
0.084819	0.000000
0.088589	0.000000
0.092359	0.000000
0.096128	0.000000
0.099898	0.000000
0.103668	0.000000
0.107438	0.000000
0.111207	0.000000
0.114977	0.000000
0.118747	0.000000
0.122516	0.000000
0.126286	0.000000
0.130056	0.000000
0.133826	0.000000
0.137595	0.000000
0.141365	0.000000
0.145135	0.000000
0.148905	0.000000
0.152674	0.000000
0.156444	0.000000
0.160214	0.000000
0.163984	0.000000
0.167753	0.000000
0.171523	0.000000
0.175293	0.000000
0.179063	0.000000
0.182832	0.000000
0.186602	0.000000
0.190372	0.000000
0.194141	0.000000
0.197911	0.000000
0.201681	0.000000
0.205451	0.000000
0.209220	0.000000
0.212990	0.000000
0.216760	0.000000
0.220530	0.000000
0.224299	0.000000
0.228069	0.000000
0.231839	0.000000
0.235609	0.000000
0.239378	0.000000
0.243148	0.000000
0.246918	0.000000
0.250688	0.000000
0.254457	0.000000
0.258227	0.000000
0.261997	0.000000
0.265766	0.000000
0.269536	0.000000
0.273306	0.000000
0.277076	0.000000
0.280845	0.000000
0.284615	0.000000
0.288385	0.000000
0.292155	0.000000
0.295924	0.000000
0.299694	0.000000
0.303464	0.000000
0.307234	0.000000
0.311003	0.000000
0.314773	0.000000
0.318543	0.000000
0.322313	0.000000
0.326082	0.000000
0.329852	0.000000
0.333622	0.000000
0.337391	0.000000
0.341161	0.000000
0.344931	0.000000
0.348701	0.000000
0.352470	0.000000
0.356240	0.000000
0.360010	0.000000
0.363780	0.000000
0.367549	0.000000
0.371319	0.000000
0.375089	0.000000
0.378859	0.000000
0.382628	0.000000
0.386398	0.000000
0.390168	0.000000
0.393938	0.000000
0.397707	0.000000
0.401477	0.000000
0.405247	0.000000
0.409016	0.000000
0.412786	0.000000
0.416556	0.000000
0.420326	0.000000
0.424095	0.000000
0.427865	0.000000
0.431635	0.000000
0.435405	0.000000
0.439174	0.000000
0.442944	0.000000
0.446714	0.000000
0.450484	0.000000
0.454253	0.000000
0.458023	0.000000
0.461793	0.000000
0.465563	0.000000
0.469332	0.000000
0.473102	0.000000
0.476872	0.000000
0.480641	0.000000
0.484411	0.000000
0.488181	0.000000
0.491951	0.000000
0.495720	0.000000
0.499490	0.000000
0.503260	0.000000
0.507030	0.000000
0.510799	0.000000
0.514569	0.000000
0.518339	0.000000
0.522109	0.000000
0.525878	0.000000
0.529648	0.000000
0.533418	0.000000
0.537188	0.000000
0.540957	0.000000
0.544727	0.000000
0.548497	0.000000
0.552267	0.000000
0.556036	0.000000
0.559806	0.000000
0.563576	0.000000
0.567345	0.000000
0.571115	0.000000
0.574885	0.000000
0.578655	0.000000
0.582424	0.000000
0.586194	0.000000
0.589964	0.000000
0.593734	0.000000
0.597503	0.000000
0.601273	0.000000
0.605043	0.000000
0.608813	0.000000
0.612582	0.000000
0.616352	0.000000
0.620122	0.000000
0.623892	0.000000
0.627661	0.000000
0.631431	0.000000
0.635201	0.000000
0.638970	0.000000
0.642740	0.000000
0.646510	0.000000
0.650280	0.000000
0.654049	0.000000
0.657819	0.000000
0.661589	0.000000
0.665359	0.000000
0.669128	0.000000
0.672898	0.000000
0.676668	0.000000
0.680438	0.000000
0.684207	0.000000
0.687977	0.000000
0.691747	0.000000
0.695517	0.000000
0.699286	0.000000
0.703056	0.000000
0.706826	0.000000
0.710595	0.000000
0.714365	0.000000
0.718135	0.000000
0.721905	0.000000
0.725674	0.000000
0.729444	0.000000
0.733214	0.000000
0.736984	0.000000
0.740753	0.000000
0.744523	0.000000
0.748293	0.000000
0.752063	0.000000
0.755832	0.000000
0.759602	0.000000
0.763372	0.000000
0.767142	0.000000
0.770911	0.000000
0.774681	0.000000
0.778451	0.000000
0.782220	0.000082
0.785990	0.000000
0.789760	0.000000
0.793530	0.000000
0.797299	0.000000
0.801069	0.000157
0.804839	0.000078
0.808609	0.000692
0.812378	0.000685
0.816148	0.001434
0.819918	0.001869
